data_point,questions 20250702-03,questions 20250702-04,questions 20250702-05,questions 20250702-06,questions 202507-07,questions 202507-08
emergency accommodation,"Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency accommodation and transport cover.","Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency accommodation and transport cover.","Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency accommodation and transport cover.","Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency accommodation and transport cover.","Regarding insurance cover for emergency accommodation and transport if my car cannot be driven and I'm far from home: give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions.","Regarding insurance cover for emergency accommodation and transport if my car cannot be driven and I'm far from home: give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions."
emergency accommodation 2,,"Regarding insurance cover for emergency accommodation and transport, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for emergency accommodation and transport, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for emergency accommodation and transport, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.",Regarding insurance cover for emergency accommodation and transport if my car cannot be driven and I'm far from home: give me a summary of the cover;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.,Regarding insurance cover for emergency accommodation and transport if my car cannot be driven and I'm far from home: give me a summary of the cover;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.
emergency accommodation 3,,,,,,"Describie the amount of insurance cover for emergency accommodation and transport if my car cannot be driven and I'm far from home, and the circumstances when it applies."
emergency towing,"Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency towing cover.","Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency towing cover.","Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency towing cover.","Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency towing cover.","Give me a summary, dollar limit, any distance or timeframe limits, specific conditions and specific exclusions relating to emergency towing cover.",Regarding insurance cover for the cost of towing my car to a repairer:  give me a summary of the cover;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.
genuine parts,"If the policy covers the use of genuine parts in repairs, give me the maximum age of a car when it will do so. if the policy never covers the use of genuine parts, simply say that it is not covered.","If the policy covers the use of genuine parts in repairs, give me the maximum age of a car when it will do so (but if the policy never covers the use of genuine parts, simply say that it is not covered).","If the policy covers the use of genuine parts in repairs, give me the maximum age of a car when it will do so (but if the policy never covers the use of genuine parts, simply say that it is not covered).","If the policy covers the use of genuine parts in repairs, give me the maximum age of a car when it will do so (but if the policy never covers the use of genuine parts, simply say that it is not covered).","If the policy covers the use of genuine parts in repairs, give me the maximum age of a car when it will do so (but if the policy never covers the use of genuine parts, simply say that it is not covered).","If the policy covers the use of genuine parts in repairs, give me the maximum age of a car when it will do so (but if the policy never covers the use of genuine parts, simply say that it is not covered)."
rental car after theft,"Give me a summary, show all numerical limits involved in the definition of the cover, describe specific conditions and specific exclusions relating to the provision of a hire car after theft.","Regarding insurance cover for the provision of a hire car after my car is stolen, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover of a hire car after theft, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover of a hire car after theft, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.",Regarding insurance cover to provide a hire car after the theft of my car: give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.,Regarding insurance cover to provide a hire car after the theft of my car: give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.
rental car after accident that was not my fault,"Give me a summary, show all numerical limits involved in the definition of the cover, describe specific conditions and specific exclusions relating to the provision of a hire car after an accident where I was not at fault.","Regarding insurance cover for the provision of a hire car after my car has an accident where I was not at fault, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of a hire car after an accident where I was not at fault,  give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of a hire car after an accident where I was not at fault,  give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of a hire car after an accident where I was not at fault,  give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of a hire car after an accident where I was not at fault,  give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions."
rental car after an accident that I caused or where I was at fault,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to the provision of a hire car after an accident where I was at fault.","Regarding insurance cover for the provision of a hire car after my car has an accident where I was at fault, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of a hire car after an accident where I was at fault, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.",Does the insurance provide a hire car after an accident where I was at fault: give me a summary of cover; tell me whether it is part of the standard cover or an option that I can choose to add;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.,Does the insurance provide a hire car after an accident that is not a not-at-fault accident where I was the driver at fault: give me a summary of cover; tell me whether it is part of the standard cover or an option that I can choose to add;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.,Does the insurance provide a hire car after an accident that is not a not-at-fault accident where I was the driver at fault: give me a summary of cover; tell me whether it is part of the standard cover or an option that I can choose to add;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.
replacement keys,"Give me a summary of when the cost of replacing keys will be covered, including cover limit and any exclusions","Give me a summary of when the cost of replacing keys will be covered, including cover limit and any exclusions","Regarding insurance cover for the cost of replacing car keys, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of replacing car keys, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of replacing car keys, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for the cost of replacing car keys, give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions."
baby capsule or seats,"Give me a summary, cover limit, specific conditions and specific exclusions relating to baby capsule or baby seats cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to baby capsule or baby seats cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to baby capsule or baby seats cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to baby capsule or baby seats cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to baby capsule or baby seats cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to baby capsule or baby seats cover."
modifications,"If this insurance policy is paying for repairs to my car or is providing me with a replacement car, will they include any modifications that were on my car?","If this insurance policy is paying for repairs to my car or is providing me with a replacement car, will they include any modifications that were on my car?","If this insurance policy is paying for repairs to my car or is providing me with a replacement car, will they include any modifications that were on my car?","If this insurance policy is paying for repairs to my car or is providing me with a replacement car, will they include any modifications that were on my car?",Does the insurance cover include the value of modifications that I have made to the car?,Does the insurance cover include the value of modifications that I have made to the car?
accidental death of driver,"Is there a benefit paid on death of the driver of my car? Provide a summary, benefit limist and any other relevent information.","Is there a benefit paid on death of the driver of my car? Provide a summary, benefit limist and any other relevent information.","Is there a benefit paid on death of the driver of my car? Provide a summary, benefit limist and any other relevent information.","Is there a benefit paid on death of the driver of my car? Provide a summary, benefit limist and any other relevent information.","Is there a benefit paid on death of the driver of my car? Provide a summary, benefit limist and any other relevent information.","Is there a benefit paid on death of the driver of my car? Provide a summary, benefit limist and any other relevent information."
rideshare cover,"Does this policy cover my car if it is being used to provide a rideshare service? If so, what are the conditions? ","Regarding insurance cover while my car is being used to provide a rideshare service, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover while my car is being used to provide a rideshare service, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover while my car is being used to provide a rideshare service, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover while my car is being used to provide a rideshare service, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover while my car is being used to provide a rideshare service, tell me whether this is standard cover, optional cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions."
legal liability,What is the cover limit for legal liability claims?,What is the cover limit for legal liability claims?,What is the cover limit for legal liability claims?,What is the cover limit for legal liability claims?,What is the cover limit for legal liability claims?,What is the cover limit for legal liability claims?
trailer or caravan,"Give me a summary, cover limit, specific conditions and specific exclusions relating to caravan or trailer cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to caravan or trailer cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to caravan or trailer cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to caravan or trailer cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to caravan or trailer cover.","Give me a summary, cover limit, specific conditions and specific exclusions relating to caravan or trailer cover."
trailer or caravan 2,,"Regarding insurance cover for a trailer or caravan, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for a trailer or caravan, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for a trailer or caravan, tell me whether this is standard cover, option cover or not covered; give me a summary;  list all numerical limits involved in the definition of the cover;  describe specific conditions and specific exclusions.","Regarding insurance cover for an unbraked trailer or caravan:  state whether it is a standard inclusion, an optional benefit or not covered; give a summary of the cover; list all numerical limits to the cover provided; describe specific conditions and specific exclusions.",Describe the cover that this insurance provides for loss or damage to a trailer or caravan.
young driver excess,Is there an additional excess payable for young drivers or drivers with limited driving experience? How much is that excess?,Is there an additional excess payable for young drivers or drivers with limited driving experience? How much is that excess?,Is there an additional excess payable for young drivers or drivers with limited driving experience? How much is that excess?,Is there an additional excess payable for young drivers or drivers with limited driving experience? What age and experience limits apply?,Is there an additional excess payable for young drivers or drivers with limited driving experience? What age and experience limits apply?,Is there an additional excess payable for young drivers or drivers with limited driving experience? What age and experience limits apply?
PDS date,The issue date of this PDS in format YYYY-MM-DD.,The issue date of this PDS in format YYYY-MM-DD.,The issue date of this PDS in format YYYY-MM-DD.,What is the issue date of this PDS?,What is the issue date or effective date of this PDS?,What is the issue date or effective date of this PDS?
underwriter,Which insurance company underwites this insurance?,Which insurance company underwites this insurance?,Which insurance company underwites this insurance?,Which insurance company underwites this insurance?,Which insurance company is the issuer or underwriter of  this insurance?,Which insurance company is the issuer od the PDS and the underwriter of  this insurance?
